"id","length","time","nodes"
1,18,109,16
1,20,187,49
1,19,197,60
1,16,292,135
1,18,312,149
1,17,483,372
1,16,777,715
1,14,1291,1766
1,16,1781,2983
1,14,7637,14984
1,13,28170,42124
2,23,14,21
2,19,22,37
2,18,54,81
2,17,64,101
2,16,123,232
2,17,291,593
2,16,326,695
2,14,2666,3659
2,15,2931,3979
2,14,17105,25248
2,16,17148,25339
2,13,48122,50716
3,20,6,17
3,19,11,36
3,18,23,75
3,19,25,85
3,18,66,229
3,16,88,336
3,17,379,1620
3,14,1163,4783
3,15,2068,6994
3,16,2507,8580
3,13,21546,46777
3,15,47820,82841
4,21,7,18
4,22,16,37
4,20,34,112
4,20,74,231
4,19,113,458
4,17,302,1363
4,19,422,1764
4,18,1537,6270
4,17,3468,13476
4,16,3484,13563
4,16,9354,23302
4,15,52633,120716
4,14,53065,122591
5,20,8,17
5,19,25,52
5,18,29,64
5,19,86,186
5,18,103,258
5,17,234,595
5,16,254,700
5,17,555,1326
5,15,4705,10291
5,15,5006,11196
5,14,58993,74973
6,19,4,16
6,18,18,79
6,18,19,88
6,17,23,104
6,16,63,295
6,15,80,354
6,17,130,626
6,14,190,884
6,16,823,3007
6,14,2422,8314
6,15,3127,10716
7,19,12,17
7,20,40,59
7,17,41,63
7,19,108,196
7,18,799,942
7,16,2191,3539
7,17,3753,6680
7,16,4014,7648
7,15,9744,18357
7,15,43646,80107
8,22,20,20
8,22,34,38
8,21,69,85
8,21,119,154
8,20,426,187
8,19,445,239
8,18,1505,743
8,19,2389,1390
8,17,3109,2903
8,16,9949,11513
8,16,13079,11905
8,15,17098,19101
9,20,8,17
9,17,25,49
9,18,26,55
9,15,32,74
9,17,68,148
9,16,83,204
9,13,84,210
9,15,159,394
9,13,1761,3972
9,14,4014,10918
9,12,11110,28040
10,21,9,18
10,20,29,64
10,21,74,150
10,20,83,187
10,19,110,322
10,19,125,399
10,18,232,685
10,18,326,1144
10,17,328,1161
10,16,434,1503
10,15,1263,3060
10,17,2653,7680
10,16,3062,9062
10,15,4738,14113
10,16,12920,37157
11,18,5,16
11,16,10,29
11,17,17,63
11,14,177,609
11,15,549,1627
12,20,17,18
12,19,48,37
12,18,56,48
12,18,149,157
12,17,448,633
12,17,1645,2290
12,17,1695,2436
12,16,1695,2443
12,16,2493,5038
12,15,4381,11037
12,15,5128,13404
13,21,20,18
13,19,37,40
13,18,39,51
13,17,42,60
13,19,46,77
13,18,58,118
13,16,77,196
13,16,79,205
13,15,125,375
13,15,269,1027
13,14,283,1108
13,14,429,1702
13,13,2789,10552
13,12,9849,31006
14,18,8,16
14,17,21,54
14,19,23,70
14,16,23,70
14,16,53,176
14,15,54,188
14,15,1582,4285
15,23,5,21
15,22,15,71
15,21,17,83
15,20,18,90
15,22,26,133
15,19,50,225
15,18,51,231
15,20,73,342
15,19,97,435
15,17,353,1539
15,17,357,1557
15,18,1659,4995
15,16,4412,12890
15,15,4419,12919
15,17,13388,28368
